OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
53527,"BATAVIA, NY",2088,WM Supercenter,Retail,4133 VETERANS MEMORIAL DR,BATAVIA,GENESEE,NY,14020-1253,Open,4991d04d-415d-4d5e-bef8-bb7c4439a0c6,-8706071.0624,5314047.92
53529,"ARROYO GRANDE, CA",2556,Wal-Mart,Retail,1168 W BRANCH ST,ARROYO GRANDE,SAN LUIS OBISPO,CA,93420-1906,Open,2a9ea35b-2582-4c83-907a-43ef41e0f724,-13424875.4454,4181419.0433
53530,WATERBURY (REIDVILLE),3548,Wal-Mart,Retail,910 WOLCOTT ST,WATERBURY,NEW HAVEN,CT,06705-1317,Open,00e0a28f-85ef-43e1-a149-9666898d9380,-8126816.3072,5095789.8418
53531,"BRISTOL, VA",2089,WM Supercenter,Retail,13245 LEE HWY,BRISTOL,BRISTOL CITY,VA,24202-5963,Open,469a0532-e7ec-4b9d-90af-091ecc405a1f,-9142046.0557,4388340.5028
53532,"LOGAN (S), UT",4272,WM Supercenter,Retail,1150 S 100 W,LOGAN,CACHE,UT,84321-5573,Open,fd09233b-f85c-4884-8a89-855fbca02e23,-12449524.6799,5117960.7947
53533,"BAKERSFIELD, CA EF",2557,WM Supercenter,Retail,8400 ROSEDALE HWY,BAKERSFIELD,KERN,CA,93312-2151,Open,c5e85566-c184-4a77-ab73-7e89805d8e5f,-13257649.4139,4216502.7524
53534,"KEENE, NH",3549,Wal-Mart,Retail,350 WINCHESTER ST,KEENE,CHESHIRE,NH,03431-3936,Open,4d44473e-fdc6-4e3c-97f9-16092f101051,-8046896.1486,5300437.165
53535,"FRANKLIN, NJ",2090,Wal-Mart,Retail,230 STATE HIGHWAY,FRANKLIN,SUSSEX,NJ,07416-0000,Open,f5ab6d0a-e7eb-4776-a024-4078f32e9abd,-8302096.7491,5029471.8947
53536,"LELAND, NC",4273,WM Supercenter,Retail,1112 NEW POINTE BLVD,LELAND,BRUNSWICK,NC,28451-4115,Open,62a0b6c2-df9a-4c0a-a5d3-310b3b251688,-8685489.0904,4057018.1801
53537,STERLING HEIGHTS MI,2558,Wal-Mart,Retail,44575 MOUND RD,STERLING HEIGHTS,MACOMB,MI,48314-1319,Open,ceeac22b-ca15-403f-840a-6caea954bf95,-9245575.5199,5254499.2309
53538,FALL RIVER (S),3560,WM Supercenter,Retail,638 QUEQUECHAN STREET,FALL RIVER,BRISTOL,MA,02721-4005,Open,7ace6115-1e92-4913-bb4c-5f5104c0eabe,-7919405.2754,5114100.4919
53539,"MIAMI (AIRPORT), FL",2091,WM Supercenter,Retail,8651 NW 13TH TER,DORAL,MIAMI-DADE,FL,33126-1512,Open,f3f4a557-12b1-4bf9-a0bf-f03d30d7defa,-8942888.2509,2972730.1138
53540,"LOWESVILLE, NC",4274,WM Supercenter,Retail,7131 HIGHWAY 73,DENVER,LINCOLN,NC,28037-9186,Open,1efb2d34-3725-4683-8637-ed90c76edc01,-9017040.8354,4225450.2746
53541,"STERLING HEIGHTS, MI",2559,WM Supercenter,Retail,33201 VAN DYKE AVE,STERLING HEIGHTS,MACOMB,MI,48312-5924,Open,aeb6b0f7-60a4-4904-ae12-a96264c39868,-9243150.3135,5241963.052
53542,"OGDENSBURG, NY",2092,Wal-Mart,Retail,3000 FORD STREET EXT,OGDENSBURG,ST. LAWRENCE,NY,13669-4480,Open,6d93f4e9-d194-4c1b-9376-657e730d1964,-8399737.1896,5575697.7404
53543,"PEORIA (75&T-BIRD), AZ",4275,Neighborhood Market,Retail,7421 WEST THUNDERBIRD ROAD,PEORIA,MARICOPA,AZ,85381-5036,Open,46d52145-1cf1-4ce9-af2b-14c4b0b87ffe,-12492089.0231,3976443.5948
53544,"UTICA, NY",2093,WM Supercenter,Retail,710 HORATIO ST,UTICA,ONEIDA,NY,13502-1461,Open,3c3ab0b1-51e7-4974-95c8-9bdb06fa06f1,-8374081.8318,5330781.265
53545,"BERLIN, MD",2560,WM Supercenter,Retail,11416 OCEAN GTWY,BERLIN,WORCESTER,MD,21811-2549,Open,b58f7efb-81f5-41cb-85ce-d335c7e6b09f,-8367070.5963,4627480.6689
53546,"TAYLOR, PA",4276,WM Supercenter,Retail,1325 MAIN,TAYLOR,LACKAWANNA,PA,18517-1316,Open,3fb6ad9c-9c16-46d2-b8d4-528857131d92,-8425342.7875,5070866.4816
53547,FALMOUTH MA,3561,Wal-Mart,Retail,137 TEATICKET HWY,TEATICKET,BARNSTABLE,MA,02536-5659,Open,1fa2372c-98ae-4dd8-a51b-b0b5a3ac3393,-7858460.8598,5095433.8214
53548,"VISTA, CA",2094,WM Supercenter,Retail,1800 UNIVERSITY DR,VISTA,SAN DIEGO,CA,92083-7700,Open,f4ade892-f754-4696-9e18-0a3f790643b7,-13048495.0075,3918244.4454
53549,"ERIE (W), PA",2561,WM Supercenter,Retail,5350 W RIDGE RD,ERIE,ERIE,PA,16506-1222,Open,405a06c3-1519-47ba-b910-e20e141a42ac,-8927366.1951,5171162.1157
53550,"HURRICANE, WV",4277,WM Supercenter,Retail,167 PROGRESS WAY,HURRICANE,PUTNAM,WV,25526-7450,Open,2544052c-4540-4e14-9d5e-63e38a258d75,-9130788.8722,4641928.2193
53551,SADDLE BROOK NJ,3562,Wal-Mart,Retail,189 US HIGHWAY 46,SADDLE BROOK,BERGEN,NJ,07663-6215,Open,2c0373b7-f7af-44f0-aa16-4421d353318b,-8248085.6454,4996457.2603
53552,"WAREHAM, MA",2095,WM Supercenter,Retail,15 TOBEY RD,WAREHAM,PLYMOUTH,MA,02571-1083,Open,04944aae-4b2a-4799-98df-9507bba5841e,-7875489.1797,5127936.7649
53553,"GOODLAND, KS",2562,WM Supercenter,Retail,2160 COMMERCE RD,GOODLAND,SHERMAN,KS,67735-9776,Open,6ef32a99-a2c6-48e6-90b1-fb036b702e99,-11324369.0493,4769669.6396
53554,"QUINCY, WV",4278,WM Supercenter,Retail,1001 WARRIOR WAY,QUINCY,KANAWHA,WV,25015-1300,Open,814e7b70-cc8c-404f-9346-62ff8387720a,-9073181.815,4608036.6264
53555,"BETHLEHEM, PA",3563,Wal-Mart,Retail,3926 LINDEN ST,BETHLEHEM,NORTHAMPTON,PA,18020-5846,Open,40cc96b1-8465-46b6-8f19-e39ddcff36de,-8387032.964,4964149.706
53556,"WARMINSTER, PA",2096,WM Supercenter,Retail,100 E STREET RD,WARMINSTER,BUCKS,PA,18974-3400,Open,476b7828-2653-4022-8b1d-ff5d5a10aa0d,-8357962.213,4894291.324
53557,"PAOLI, IN",2563,WM Supercenter,Retail,735 N GOSPEL ST,PAOLI,ORANGE,IN,47454-1419,Open,088c7700-b9ff-429b-843c-c63602cb6dd9,-9625567.496,4659602.4053
53558,"MIDLOTHIAN, TX",4279,WM Supercenter,Retail,400 N HIGHWAY 67,MIDLOTHIAN,ELLIS,TX,76065-8000,Open,e5a33297-04ae-4fe8-a528-faeac340aaa0,-10798634.3676,3827189.4128
